video_id,title,view_count,like_count,total_comments,positive_count,negative_count,neutral_count,avg_sentiment_score,positive_pct
RmKDUK0mIUM,SSC में Selection चाहिए | तो पेश है Indi's Top SSC Faculty | SSC Pratham Batch | SSC 2026,2942,184,1,0.0,1.0,0.0,0.9982,0.0
0qMTrMRRihY,Daily Current Affairs 2026 | 7 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,0,10,0,0.0,0.0,0.0,,
eZRTU5zUiZI,SSC CGL 2025 | The Pundits MeetUp | Topper Meetup 🚀| Rakesh Yadav Sir,6072,353,10,8.0,2.0,0.0,0.9369,80.0
TjlDJLFIoeo,Most Important Current Affairs Update | Breaking News of Past 24 Hours  #shorts #news #breakingnews,8647,687,7,7.0,0.0,0.0,0.9994,100.0
t0o4Ax8wWMw,SSC  में टॉप रैंक कैसे लाते हैं सफल स्टूडेंट्स  India's Top SSC Faculty #shorts #ssc,4476,267,3,2.0,1.0,0.0,0.7434,66.67
2T6c77uuqbk,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,13263,1157,32,19.0,13.0,0.0,0.9304,59.38
QFMIcAB_QLI,Daily Current Affairs 2026 | 5 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,16903,1374,36,26.0,10.0,0.0,0.9016,72.22
21JPw29GxxQ,Ankul Sir की Nouns Complete Guidance | English Tricks | SSC | SSC CGL | English #shorts #english,3151,92,2,0.0,2.0,0.0,0.6971,0.0
hvBoFojbuXg,Most Important Current Affairs Update | Breaking News of Past 24 Hours  #shorts #news #breakingnews,15427,916,13,9.0,4.0,0.0,0.9066,69.23
xohSmqLf4_U,Careerwill क्यों है Top पर |  India's Top Teaching Faculty For SSC Preparation | SSC  #shorts #ssc,10961,415,4,2.0,2.0,0.0,0.9886,50.0
